threads,implementation,input,contains-cycle,time-to-finish,is_DAS
,,,False,,False
,,,False,,False
,,,False,,False
,,,False,,False
1,"simple-loop
",,False,,False
,"simple-loop
",,False,,True
,"simple-loop
",simple-loop,False,,True
,1_naive,simple-loop,False,8,True
,1_naive,simple-loop,False,8,True
1,"simple-loop
",simple-loop,False,8,True
,"simple-loop
",simple-loop,False,8,True
,"simple-loop
",simple-loop,False,8,True
,1_naive,simple-loop,False,8,True
,1_naive,simple-loop,False,8,True
,1_naive,simple-loop,False,8,True
,1_naive,simple-loop,False,8,True
1,"bintree
",simple-loop,False,8,True
,"bintree
",simple-loop,False,8,True
,"bintree
",bintree,False,8,True
,1_naive,bintree,False,10992,True
,1_naive,bintree,False,10992,True
1,"bintree
",bintree,False,10992,True
,"bintree
",bintree,False,10992,True
,"bintree
",bintree,False,10992,True
,1_naive,bintree,False,10381,True
,1_naive,bintree,False,10381,True
,1_naive,bintree,False,10381,True
,1_naive,bintree,False,10381,True
1,"bintree-loop
",bintree,False,10381,True
,"bintree-loop
",bintree,False,10381,True
,"bintree-loop
",bintree-loop,False,10381,True
,1_naive,bintree-loop,False,11386,True
,1_naive,bintree-loop,False,11386,True
1,"bintree-loop
",bintree-loop,False,11386,True
,"bintree-loop
",bintree-loop,False,11386,True
,"bintree-loop
",bintree-loop,False,11386,True
,1_naive,bintree-loop,False,11291,True
,1_naive,bintree-loop,False,11291,True
1,"bintree-loop
",bintree-loop,False,11291,True
,"bintree-loop
",bintree-loop,False,11291,True
,"bintree-loop
",bintree-loop,False,11291,True
,"bintree-loop
",bintree-loop,False,11291,True
2,"simple-loop
",bintree-loop,False,11291,True
,"simple-loop
",bintree-loop,False,11291,True
,"simple-loop
",simple-loop,False,11291,True
,1_naive,simple-loop,False,8,True
,1_naive,simple-loop,False,8,True
2,"simple-loop
",simple-loop,False,8,True
,"simple-loop
",simple-loop,False,8,True
,"simple-loop
",simple-loop,False,8,True
,1_naive,simple-loop,False,7,True
,1_naive,simple-loop,False,7,True
,1_naive,simple-loop,False,7,True
,1_naive,simple-loop,False,7,True
2,"bintree
",simple-loop,False,7,True
,"bintree
",simple-loop,False,7,True
,"bintree
",bintree,False,7,True
,1_naive,bintree,False,10874,True
,1_naive,bintree,False,10874,True
2,"bintree
",bintree,False,10874,True
,"bintree
",bintree,False,10874,True
,"bintree
",bintree,False,10874,True
,1_naive,bintree,False,10317,True
,1_naive,bintree,False,10317,True
,1_naive,bintree,False,10317,True
2,"bintree-loop
",bintree,False,10317,True
,"bintree-loop
",bintree,False,10317,True
,"bintree-loop
",bintree-loop,False,10317,True
,1_naive,bintree-loop,False,11473,True
,1_naive,bintree-loop,False,11473,True
2,"bintree-loop
",bintree-loop,False,11473,True
,"bintree-loop
",bintree-loop,False,11473,True
,"bintree-loop
",bintree-loop,False,11473,True
,1_naive,bintree-loop,False,11220,True
,1_naive,bintree-loop,False,11220,True
,1_naive,bintree-loop,False,11220,True
,1_naive,bintree-loop,False,11220,True
,1_naive,bintree-loop,False,11220,True
,1_naive,bintree-loop,False,11220,True
