threads,implementation,input,contains-cycle,time-to-finish,is_DAS
,1_naive,"bintree-cycle-min
",True,11127,True
,1_naive,"bintree-cycle-min
",True,11127,True
1,1_naive,"bintree-cycle-max
",True,11127,True
,1_naive,"bintree-cycle-max
",True,11127,True
,1_naive,"bintree-cycle-max
",True,11127,True
,1_naive,"bintree-cycle-max
",True,11127,True
,1_naive,"bintree-cycle-max
",True,11127,True
,1_naive,"bintree-cycle-max
",True,8,True
1,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,8,True
,1_naive,"bintree-cycle-max
",True,9,True
1,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
1,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
1,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
,1_naive,"bintree-cycle-max
",True,9,True
1,1_naive,"bintree-converge
",True,9,True
,1_naive,"bintree-converge
",True,9,True
,1_naive,"bintree-converge
",True,9,True
,1_naive,"bintree-converge
",True,9,True
,1_naive,"bintree-converge
",True,10924,True
1,1_naive,"bintree-converge
",True,10924,True
,1_naive,"bintree-converge
",True,10924,True
,1_naive,"bintree-converge
",True,10924,True
,1_naive,"bintree-converge
",True,10924,True
,1_naive,"bintree-converge
",True,11300,True
1,1_naive,"bintree-converge
",True,11300,True
,1_naive,"bintree-converge
",True,11300,True
,1_naive,"bintree-converge
",True,11300,True
,1_naive,"bintree-converge
",True,11300,True
,1_naive,"bintree-converge
",True,10423,True
1,1_naive,"bintree-converge
",True,10423,True
,1_naive,"bintree-converge
",True,10423,True
,1_naive,"bintree-converge
",True,10423,True
,1_naive,"bintree-converge
",True,10423,True
,1_naive,"bintree-converge
",True,10882,True
1,1_naive,"bintree-converge
",True,10882,True
,1_naive,"bintree-converge
",True,10882,True
,1_naive,"bintree-converge
",True,10882,True
,1_naive,"bintree-converge
",True,10882,True
,1_naive,"bintree-converge
",True,10578,True
,1_naive,"bintree-converge
",True,10578,True
,1_naive,"bintree-converge
",True,10578,True
1,1_naive,"accept-cycle
",True,10578,True
,1_naive,"accept-cycle
",True,10578,True
,1_naive,"accept-cycle
",True,10578,True
,1_naive,"accept-cycle
",True,10578,True
,1_naive,"accept-cycle
",True,10578,True
,1_naive,"accept-cycle
",True,8,True
1,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
1,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
1,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,8,True
,1_naive,"accept-cycle
",True,9,True
1,1_naive,"accept-cycle
",True,9,True
,1_naive,"accept-cycle
",True,9,True
,1_naive,"accept-cycle
",True,9,True
,1_naive,"accept-cycle
",True,9,True
,1_naive,"accept-cycle
",True,9,True
,1_naive,"accept-cycle
",True,7,True
,1_naive,"accept-cycle
",True,7,True
,1_naive,"accept-cycle
",True,7,True
,1_naive,"accept-cycle
",True,7,True
,1_naive,"accept-cycle
",True,7,True
,1_naive,"accept-cycle
",True,7,True
2,1_naive,"simple-loop
",True,7,True
,1_naive,"simple-loop
",True,7,True
,1_naive,"simple-loop
",True,7,True
,1_naive,"simple-loop
",True,7,True
